p,n,f,recovery,final solve,post-ortho,cs construct,pbmgs
6,12000,0,0.00013309686,0,0.00014256489,5.7804088e-07,380.19552
6,12000,1,0.94808258,0,0.43715189,0.13337511,483.42623
6,12000,2,2.0128053,0,0.29553353,0.23567393,588.14344
6,12000,3,4.1464622,0,0.23515219,0.38446888,689.12592
8,12000,0,9.043375e-05,0,8.959457e-05,6.1676838e-07,262.95797
8,12000,1,0.92974427,0,0.38358244,0.10021769,311.11051
8,12000,2,2.1980274,0,0.32793695,0.20009432,351.039
8,12000,3,3.4925221,0,0.28972534,0.28649291,393.59793
10,12000,0,0.00010964386,0,0.000105475,5.7816505e-07,182.03247
10,12000,1,0.90119418,0,0.48549727,0.079346453,204.21154
10,12000,2,1.9887442,0,0.38891514,0.15963518,238.25516
10,12000,3,3.086271,0,0.37583953,0.20609522,268.81231
12,12000,0,0.00012203588,0,0.00010879415,5.860606e-07,145.14713
12,12000,1,0.77901463,0,0.52457829,0.05557025,163.56203
12,12000,2,1.6865944,0,0.42409069,0.11557553,182.36273
12,12000,3,2.650784,0,0.35112299,0.16001355,204.89254
6,24000,0,9.3417139e-05,0,0.00010223852,5.6914157e-07,4791.2342
6,24000,1,4.3867222,0,2.0252456,0.55934138,6091.4213
6,24000,2,9.0609399,0,1.4323514,1.0278402,7313.6046
6,24000,3,17.314531,0,1.0787936,1.5731452,8559.2387
8,24000,0,9.035843e-05,0,9.1615133e-05,5.5291457e-07,1767.5622
8,24000,1,4.0606785,0,1.7960076,0.40568158,2079.3559
8,24000,2,9.1579969,0,1.3588892,0.79675127,2339.77
8,24000,3,14.33354,0,1.1456502,1.1413832,2610.9811
10,24000,0,0.0001164018,0,0.00010144338,5.8285892e-07,1686.4377
10,24000,1,3.8951529,0,1.9129233,0.32173824,1885.8243
10,24000,2,8.2136255,0,1.5512001,0.64174485,2128.1259
10,24000,3,12.753931,0,1.5196143,0.82253218,2368.631
12,24000,0,0.00012411056,0,9.9622722e-05,5.5051512e-07,989.91693
12,24000,1,3.1816078,0,2.0715563,0.22259528,1103.5075
12,24000,2,6.7259213,0,1.6709819,0.47231047,1200.1202
12,24000,3,10.90246,0,1.3642802,0.64657203,1337.7572
6,36000,0,0.00011403352,0,8.4847626e-05,5.8197313e-07,18679.623
6,36000,1,10.021562,0,4.6355686,1.2943867,23622.523
6,36000,2,20.77387,0,3.2637653,2.3575679,27811.445
6,36000,3,39.273679,0,2.4590878,3.5774177,32727.451
8,36000,0,9.9870085e-05,0,0.00010265148,5.9627928e-07,5882.5165
8,36000,1,9.2001289,0,4.0692449,0.91730826,6881.2705
8,36000,2,20.832267,0,3.0531206,1.7974254,7724.1158
8,36000,3,32.50569,0,2.5764588,2.5986862,8609.2974
10,36000,0,0.00012337428,0,9.5246844e-05,6.6448003e-07,4299.1914
10,36000,1,8.7509548,0,4.3266228,0.72361432,4794.4357
10,36000,2,18.698045,0,3.4820153,1.4458502,5346.1201
10,36000,3,28.825791,0,3.3811042,1.8257332,5997.8456
12,36000,0,0.00012258883,0,0.00011059137,5.7992939e-07,2928.821
12,36000,1,7.5173173,0,4.7158738,0.49809579,3280.5759
12,36000,2,15.846034,0,3.8085931,1.031652,3553.4541
12,36000,3,24.935981,0,3.0597833,1.4711068,3937.4818
6,12000,0,0.00010124449,0,0.00011758258,5.9439076e-07,379.40431
6,12000,1,0.94800411,0,0.43520048,0.13391687,481.94507
6,12000,2,2.0102965,0,0.29432612,0.23422855,584.50847
6,12000,3,4.1315085,0,0.2358167,0.38340269,689.5592
8,12000,0,9.1795286e-05,0,0.0001068447,5.4651173e-07,263.94866
8,12000,1,0.93170655,0,0.3863678,0.10106757,312.34821
8,12000,2,2.1987673,0,0.33081122,0.20084812,351.63805
8,12000,3,3.5039614,0,0.28634661,0.28586706,395.308
10,12000,0,9.8805651e-05,0,9.2966892e-05,5.5484474e-07,182.00911
10,12000,1,0.90426344,0,0.48781492,0.078923911,203.48149
10,12000,2,1.9912609,0,0.39124207,0.16006453,237.00546
10,12000,3,3.0851341,0,0.37467677,0.20762326,267.93429
12,12000,0,0.00010850348,0,0.00012887463,5.8888044e-07,145.01843
12,12000,1,0.77237288,0,0.52221279,0.054921294,164.14426
12,12000,2,1.6854507,0,0.4193957,0.11410789,179.20335
12,12000,3,2.6297034,0,0.34363072,0.15984104,203.22918
6,24000,0,0.00010962867,0,8.9798123e-05,5.6334668e-07,4816.4158
6,24000,1,4.4273729,0,2.0382473,0.57098467,6109.0892
6,24000,2,9.0849656,0,1.4475372,1.0355255,7351.7648
6,24000,3,17.2948,0,1.0885626,1.5666212,8563.2286
8,24000,0,0.00010256766,0,9.3001407e-05,5.6001591e-07,1758.3899
8,24000,1,4.059787,0,1.7921521,0.40491441,2077.5406
6,36000,0,9.7834402e-05,0,8.5201735e-05,7.8448405e-07,19840.589
6,36000,1,10.070114,0,4.6451744,1.3035093,23555.289
6,36000,2,20.815264,0,3.2601179,2.3691312,27798.274
6,36000,3,39.421134,0,2.4701755,3.5818608,32704.019
8,36000,0,9.5933792e-05,0,9.4313058e-05,5.6816498e-07,5821.4417
8,36000,1,9.1993695,0,4.0626331,0.91524932,6816.3571
8,36000,2,20.707832,0,3.0946954,1.7966785,7681.8524
8,36000,3,32.62827,0,2.6193645,2.5958675,8626.0057
10,36000,0,0.00012677286,0,9.158574e-05,5.5793673e-07,4288.8671
10,36000,1,8.7390018,0,4.3231577,0.72206932,4794.1527
10,36000,2,18.661437,0,3.4641883,1.4484509,5348.9128
