p,n,f,recovery,final solve,post-ortho,cs construct,pbmgs
6,3000,0,8.1984326e-06,0.04391646,1.5366822e-07,4.5976291e-07,6.8756214
6,3000,1,0.050994837,0.045283422,0.025944331,0.010658681,10.654023
6,3000,2,0.11031493,0.044725344,0.018526772,0.017814948,27.081171
6,3000,3,0.24620212,0.049297981,0.017530415,0.026413919,35.70048
8,3000,0,6.590446e-06,0.046062578,1.1583325e-07,5.3050462e-07,7.1872222
8,3000,1,0.055267736,0.04559771,0.02875788,0.0084721822,9.353052
8,3000,2,0.10412644,0.045431804,0.024114727,0.016137161,10.493933
8,3000,3,0.15337975,0.050135348,0.019329026,0.018109738,11.976251
10,3000,0,8.7673962e-06,0.044876453,1.7464161e-07,5.3137541e-07,5.7141726
10,3000,1,0.035967476,0.04677904,0.027134205,0.0060599621,6.7332308
10,3000,2,0.07217454,0.046898738,0.019657379,0.010447117,7.9337527
10,3000,3,0.10786836,0.045265421,0.016172337,0.012290156,9.6442195
12,3000,0,5.5411106e-06,0.044621702,1.8336707e-07,4.7838936e-07,5.0588923
12,3000,1,0.02827164,0.044249371,0.021324407,0.0040108665,6.1183019
12,3000,2,0.056731244,0.045839995,0.018242055,0.0077967104,6.791621
12,3000,3,0.098799248,0.046492606,0.017570874,0.008612942,7.9779663
6,6000,0,1.7449674e-05,0.18091126,1.4570024e-07,6.1208589e-07,48.040394
6,6000,1,0.21985835,0.17752906,0.097657162,0.032621794,66.493616
6,6000,2,0.47421272,0.17788986,0.071381352,0.0616754,111.41314
6,6000,3,1.1065113,0.17769364,0.061412589,0.098448289,139.12822
8,6000,0,1.4101213e-05,0.1796507,1.458684e-07,6.6973735e-07,53.685827
8,6000,1,0.27395414,0.17793959,0.10885949,0.028378791,69.231118
8,6000,2,0.51725248,0.1798597,0.096902979,0.054460959,82.751134
8,6000,3,0.80139249,0.18287966,0.071718802,0.06835972,89.21591
10,6000,0,2.1417141e-05,0.18811459,2.3685396e-07,6.7990273e-07,87.98914
10,6000,1,0.19258337,0.1799567,0.11024281,0.019624815,94.546162
10,6000,2,0.40107367,0.18026166,0.082228244,0.034479836,107.07587
10,6000,3,0.61255903,0.17932432,0.077200403,0.045096104,123.73038
12,6000,0,2.1942089e-05,0.17972461,2.0351985e-07,5.4699679e-07,50.862641
12,6000,1,0.14754616,0.17913828,0.088274053,0.014375097,59.8508
12,6000,2,0.31544805,0.18008789,0.07151487,0.026424732,60.984055
12,6000,3,0.52836208,0.17947093,0.060818982,0.032570038,71.926919
6,9000,0,1.7729898e-05,0.39437864,1.3038516e-07,1.5557226e-06,163.81498
6,9000,1,0.51078103,0.38654996,0.22265624,0.070791493,218.68006
6,9000,2,1.0888938,0.39361675,0.15976167,0.13216532,351.13941
6,9000,3,2.5959455,0.39528548,0.1296855,0.23361385,448.73102
8,9000,0,1.9144325e-05,0.38305775,1.3870886e-07,2.0779553e-06,185.8452
8,9000,1,0.62164647,0.38659745,0.25032712,0.065942713,238.88703
8,9000,2,1.2059999,0.39051954,0.216865,0.12486491,261.48276
8,9000,3,1.8616508,0.39024114,0.16182459,0.16064696,307.6484
10,9000,0,1.9307137e-05,0.38350531,1.3191253e-07,1.0792166e-06,108.50464
10,9000,1,0.45230985,0.38983908,0.2789324,0.044897493,125.25847
10,9000,2,0.95584962,0.38604936,0.18308564,0.075914766,140.21269
10,9000,3,1.4609426,0.40263052,0.16924799,0.10148023,164.86403
12,9000,0,2.2631061e-05,0.38700412,1.7638215e-07,1.7172295e-06,106.93837
12,9000,1,0.35475833,0.39024936,0.1940106,0.028583016,112.26237
12,9000,2,0.75692174,0.40337982,0.15693146,0.05360404,126.22411
12,9000,3,1.3098353,0.38955092,0.15350803,0.071393861,149.96465
6,12000,0,2.0402587e-05,0.73835022,1.1413876e-07,7.37504e-07,380.62621
6,12000,1,0.91334437,0.75360288,0.40238711,0.12193129,489.01669
6,12000,2,1.9558025,0.72304212,0.28555608,0.22637156,809.67552
6,12000,3,4.6545013,0.71456837,0.22828362,0.4219068,1050.905
8,12000,0,2.2122636e-05,0.72322296,1.724693e-07,1.1124648e-06,340.38565
8,12000,1,1.1222298,0.71114273,0.44193512,0.11779584,441.49427
8,12000,2,2.1999359,0.71133547,0.38812912,0.22298034,487.70429
8,12000,3,3.3775945,0.72684975,0.28829805,0.29184336,552.62328
10,12000,0,2.8301552e-05,0.71880119,1.905486e-07,7.9363585e-07,247.49403
10,12000,1,0.80510252,0.71520554,0.46880599,0.077891948,283.9864
10,12000,2,1.7249854,0.7144178,0.32806795,0.1345101,323.97437
10,12000,3,2.6541922,0.71226601,0.30137652,0.1859049,370.35874
12,12000,0,2.3359692e-05,0.71697636,1.947499e-07,8.1814101e-07,196.54824
12,12000,1,0.64090679,0.73216464,0.34096607,0.050629392,226.82468
12,12000,2,1.3867415,0.71034798,0.27488287,0.091577077,238.34584
12,12000,3,2.3836806,0.71267913,0.2690915,0.12919286,277.55264
6,3000,0,7.9929208e-06,0.045628309,1.4062971e-07,4.9163484e-07,6.828635
6,3000,1,0.050467325,0.045795348,0.02621879,0.010671294,10.532269
6,3000,2,0.10930454,0.046137236,0.018724036,0.017545996,27.041802
6,3000,3,0.24514069,0.048447244,0.017396634,0.0269186,35.202303
8,3000,0,6.4132619e-06,0.047932863,1.1530938e-07,5.9686136e-07,7.1587924
8,3000,1,0.054550406,0.048926707,0.028576606,0.0085399655,9.2456185
8,3000,2,0.10334836,0.050198961,0.024192194,0.015384024,10.556703
8,3000,3,0.15167367,0.046452612,0.019779515,0.017848644,12.027927
10,3000,0,8.4331632e-06,0.04656779,1.3869256e-07,5.2820891e-07,5.7607052
10,3000,1,0.03564857,0.046570417,0.025306574,0.0060792922,6.7053755
10,3000,2,0.073384461,0.045498237,0.020285015,0.010567955,7.9682617
10,3000,3,0.10776223,0.046010669,0.017228364,0.012035439,9.5835436
12,3000,0,5.4667083e-06,0.04468298,1.4818377e-07,4.7577649e-07,5.0463007
12,3000,1,0.027964706,0.043693524,0.0241024,0.0038190812,6.0874456
12,3000,2,0.056595024,0.04520788,0.020428554,0.008074654,6.9240876
12,3000,3,0.098444822,0.050355658,0.019467869,0.0087535222,7.9888152
6,6000,0,1.7915438e-05,0.18160812,1.453898e-07,5.9542557e-07,47.673451
6,6000,1,0.22014545,0.18630876,0.096798535,0.031528309,66.178977
6,6000,2,0.47106499,0.1796594,0.071507768,0.059851074,112.4555
6,6000,3,1.0985822,0.17942769,0.06233901,0.10002099,138.93953
