p,n,f,recovery,final solve,post-ortho,cs construct,pbmgs
6,12000,0,2.3695123e-05,0,1.0225818e-05,8.4357129e-07,347.88189
6,24000,0,2.5930194e-05,0,1.1710243e-05,8.1345853e-07,4556.3467
6,36000,0,2.6816709e-05,0,1.0933727e-05,8.0673231e-07,17151.228
6,12000,0,2.2655974e-05,0,1.1966978e-05,7.7765435e-07,343.93664
6,24000,0,2.7491401e-05,0,1.564684e-05,8.0549055e-07,4567.505
6,36000,0,2.5681841e-05,0,9.1723891e-06,8.3311978e-07,17285.554
6,12000,0,2.2660734e-05,0,1.2854114e-05,6.9569796e-07,347.90279
6,24000,0,2.4895287e-05,0,1.3954317e-05,7.4371282e-07,4607.3466
6,36000,0,2.6148227e-05,0,1.5950865e-05,8.120098e-07,17159.72
6,12000,0,2.4519343e-05,0,1.2104606e-05,1.1609453e-06,344.95848
6,24000,0,2.4904807e-05,0,1.1877778e-05,7.8200052e-07,4581.9709
6,36000,0,2.4669804e-05,0,1.2277729e-05,8.1169936e-07,17287.638
6,12000,0,2.7401373e-05,0,1.3385175e-05,9.7975135e-07,347.89746
6,24000,0,2.6147295e-05,0,1.4868875e-05,7.21775e-07,4574.0747
6,36000,0,2.5681841e-05,0,1.2186045e-05,8.094228e-07,17314.859
6,12000,0,2.6120287e-05,0,9.1865659e-06,7.0780516e-07,365.94854
6,24000,0,2.694875e-05,0,1.3020614e-05,7.5944182e-07,4694.4349
6,36000,0,2.4531864e-05,0,1.178537e-05,7.9835041e-07,17543.564
6,12000,0,2.3717061e-05,0,1.3385485e-05,7.7010029e-07,364.24463
6,24000,0,2.8550625e-05,0,1.1673715e-05,8.1221677e-07,4697.9204
6,36000,0,2.410149e-05,0,1.3348646e-05,7.4826595e-07,17535.032
6,12000,0,2.3295482e-05,0,1.1351684e-05,7.6803068e-07,366.41876
6,24000,0,2.640672e-05,0,1.0553333e-05,7.7206641e-07,4738.6199
6,36000,0,2.5618821e-05,0,1.0870708e-05,7.5664785e-07,17597.287
6,12000,0,2.338313e-05,0,1.0878779e-05,7.8531189e-07,362.48673
6,24000,0,2.4722165e-05,0,9.4936954e-06,8.3529287e-07,4670.7349
6,36000,0,2.4773387e-05,0,1.3330434e-05,7.3667616e-07,17524.169
6,12000,0,2.3284513e-05,0,1.2608245e-05,7.9183115e-07,364.14244
6,24000,0,2.5125531e-05,0,1.330208e-05,7.9814345e-07,4723.5784
6,36000,0,2.7765209e-05,0,1.1510526e-05,7.7227337e-07,17597.136
