p,n,f,recovery,final solve,post-ortho,cs construct,pbmgs
6,12000,0,8.4578991e-05,0.72764325,0.00011956568,8.2773881e-07,380.48331
6,12000,1,0.94947777,0.60961986,0.43658586,0.13412671,485.4929
6,12000,2,2.0095234,0.65973597,0.29385097,0.23499283,594.80394
6,12000,3,4.1359503,0.75747894,0.23657816,0.39240405,698.22673
8,12000,0,0.00010588334,0.65826137,8.6326443e-05,8.7043736e-07,268.9284
8,12000,1,0.9348971,0.75259529,0.38036224,0.10061525,316.87561
8,12000,2,2.2024096,0.61833299,0.331742,0.20087978,356.64293
8,12000,3,3.5044609,0.71818439,0.29197962,0.28856947,403.5609
10,12000,0,9.8341666e-05,0.62539352,8.5410327e-05,9.6235424e-07,184.79082
10,12000,1,0.90481199,0.71560678,0.48902083,0.0819687,208.51839
10,12000,2,2.0120042,0.62063907,0.38162795,0.16046124,237.23362
10,12000,3,3.0971612,0.74199516,0.36764132,0.20775821,267.50791
12,12000,0,0.00010051378,0.63428187,8.7533935e-05,8.6425441e-07,144.79125
12,12000,1,0.77954964,0.74335713,0.51922204,0.055669357,165.40389
12,12000,2,1.6968009,0.69666478,0.42015436,0.11224874,181.41538
12,12000,3,2.6675245,0.62636676,0.34133599,0.1574493,203.17435
6,24000,0,0.00013357142,2.9387174,0.00012151876,1.6097393e-06,4838.166
6,24000,1,4.4207485,2.4334676,2.033383,0.57062764,6112.1811
6,24000,2,9.0905368,2.6018405,1.4377054,1.0308211,7317.7771
6,24000,3,17.304685,3.0291245,1.0834687,1.5915011,8573.325
8,24000,0,0.0001048483,2.6121177,9.3938899e-05,1.148961e-06,1780.9439
8,24000,1,4.070303,3.0258123,1.7556274,0.40689488,2092.6002
8,24000,2,9.1483264,2.4811132,1.3478092,0.80167009,2359.518
8,24000,3,14.33788,2.8755636,1.1334155,1.155233,2636.1881
10,24000,0,0.00011978935,2.5329643,9.5958151e-05,1.5218183e-06,1695.3142
10,24000,1,3.8905258,2.8722035,1.9319203,0.32906236,1905.2549
10,24000,2,8.3049626,2.5521755,1.5368631,0.63940519,2122.5644
10,24000,3,12.86852,3.0135749,1.471106,0.81991914,2366.7625
12,24000,0,0.00012209398,2.5489119,9.208646e-05,1.5202289e-06,989.33284
12,24000,1,3.1936473,2.996757,2.0625463,0.21930227,1106.3454
12,24000,2,6.7342609,2.7797744,1.6595262,0.48123191,1194.7412
12,24000,3,10.664123,2.5188646,1.3164972,0.62296221,1333.2737
6,36000,0,0.00010788161,6.4132931,8.845619e-05,1.304369e-06,18884.131
8,36000,0,0.00011041906,5.7153088,9.8214718e-05,1.0936055e-06,5882.219
8,36000,1,9.2142625,6.6621682,4.1336261,0.92456436,6879.1062
8,36000,2,20.774141,5.5150552,3.04184,1.7964333,7725.3608
10,36000,0,0.00011330292,5.5120929,9.2879459e-05,1.2937188e-06,4319.8174
10,36000,1,8.8165275,6.3123882,4.3422093,0.73729745,4843.435
10,36000,2,18.752651,5.5508999,3.4550839,1.4488597,5365.0307
12,36000,0,0.00013458072,5.5424479,9.1556537e-05,1.4454126e-06,2932.4938
12,36000,1,7.5751167,6.7082689,4.6759805,0.49551716,3286.2051
12,36000,2,15.65809,6.133452,3.768523,1.0277333,3562.9783
12,36000,3,24.874437,5.6485822,3.0065986,1.447132,3939.2381
6,12000,0,9.7323726e-05,0.72791468,8.8682916e-05,8.3963904e-07,379.83683
6,12000,1,0.94368502,0.60082015,0.43296626,0.13356934,485.85784
6,12000,2,2.0158724,0.65778264,0.29278579,0.23462673,593.74589
6,12000,3,4.1389954,0.7537136,0.2360004,0.39230896,696.06167
8,12000,0,9.8261051e-05,0.64699789,7.9813763e-05,8.6106593e-07,267.41883
8,12000,1,0.93551583,0.75134083,0.38010704,0.10164915,315.46527
8,12000,2,2.1990835,0.6190507,0.32660771,0.20028474,355.88583
8,12000,3,3.4945472,0.7164007,0.28896653,0.28823663,400.85529
10,12000,0,0.00010194469,0.61873169,8.6176097e-05,8.6531043e-07,183.92723
10,12000,1,0.89809885,0.71640158,0.48605474,0.081270424,208.86184
10,12000,2,2.0088067,0.62238959,0.3894793,0.16018211,238.68201
10,12000,3,3.1136351,0.74679122,0.35557839,0.2111592,268.15923
12,12000,0,0.00010300487,0.63291366,9.5609757e-05,8.6400865e-07,144.66969
12,12000,1,0.78525398,0.74966083,0.51355886,0.054406391,162.86081
12,12000,2,1.6783885,0.6991115,0.41812261,0.11492392,177.33139
12,12000,3,2.6344984,0.62718005,0.33379687,0.15482697,202.82034
6,24000,0,0.00010921879,2.9424739,8.5523352e-05,1.7291556e-06,4821.7403
6,24000,1,4.4132879,2.4566832,2.0138581,0.56660905,6111.7051
6,24000,2,9.0503775,2.5689263,1.4322973,1.0268195,7314.5881
6,24000,3,17.237875,3.012822,1.0987181,1.5864161,8568.4603
8,24000,0,0.00011857611,2.6168202,8.4371597e-05,1.3920944e-06,1777.1035
8,24000,1,4.0653085,3.0108077,1.7577697,0.40675287,2087.9258
8,24000,2,9.1612885,2.4645738,1.3439167,0.80048621,2354.6201
8,24000,3,14.337821,2.8661354,1.1474198,1.1548451,2638.1974
10,24000,0,0.00012414981,2.5411885,9.9835433e-05,1.5152246e-06,1690.7052
10,24000,1,3.896268,2.8743306,1.9328714,0.32808103,1904.2933
10,24000,2,8.2678496,2.5650494,1.5409012,0.63826372,2116.6718
10,24000,3,12.762824,3.0353174,1.495623,0.83258073,2361.6118
12,24000,0,0.00011890858,2.5498538,9.5815061e-05,1.4267603e-06,989.39299
12,24000,1,3.1963953,2.9875691,2.0633505,0.22079064,1104.084
12,24000,2,6.7798114,2.806979,1.6407681,0.46706579,1202.7173
12,24000,3,10.773632,2.538202,1.3055945,0.63188741,1335.5687
