p,n,f,recovery,final solve,post-ortho,cs construct,pbmgs
8,12000,0,8.1204606e-05,0,6.1784463e-05,6.0317689e-07,273.32632
8,12000,1,0.97134682,0,0.19080323,0.10697217,322.4866
8,12000,2,1.7505522,0,0.14843171,0.16201514,384.01039
8,24000,0,7.8860001e-05,0,6.7928253e-05,6.0364255e-07,1823.546
8,24000,1,4.1752588,0,0.86743302,0.43340063,2118.3679
8,24000,2,7.5535924,0,0.57924833,0.64728869,2486.3409
8,36000,0,9.0169371e-05,0,7.1732327e-05,6.0498132e-07,5997.7777
8,36000,1,9.4429215,0,2.5673178,0.97984956,6961.2321
8,36000,2,16.367016,0,1.2794507,1.4068188,8089.2984
8,48000,0,9.0093992e-05,0,7.3831587e-05,6.7963265e-07,28192.972
6,12000,0,6.7347247e-05,0,7.8445663e-05,6.4845921e-07,419.77668
6,24000,0,8.2717536e-05,0,0.00053779626,6.6149773e-07,5172.3054
8,48000,1,16.88441,0,3.5473059,1.7540376,33186.709
10,12000,0,9.3933269e-05,0,8.4634013e-05,6.3952059e-07,215.77836
10,24000,0,0.00011247516,0,8.571595e-05,6.6336244e-07,1923.9467
8,48000,2,29.245799,0,3.2012811,2.6096175,36925.035
6,12000,1,0.87410158,0,0.18545767,0.14105036,525.72672
6,12000,2,2.0733025,0,0.1359927,0.24134381,603.80345
10,36000,0,0.00010354966,0,0.00013794675,6.293878e-07,4293.5888
6,24000,1,3.9494462,0,0.83132945,0.54357505,6229.7732
6,24000,2,9.0322837,0,0.60925424,1.0223459,7471.9828
6,36000,0,7.1087645e-05,0,5.251402e-05,9.2599334e-07,19829.045
10,48000,0,9.7575039e-05,0,7.3900931e-05,6.2655658e-07,28624.16
6,12000,3,4.0846993,0,0.12055246,0.38444889,702.6648
6,36000,1,9.0280295,0,1.9246479,1.2045095,23908.689
6,36000,2,20.638068,0,1.3776794,2.383859,28583.162
6,24000,3,17.031313,0,0.55993544,1.5752644,8704.4674
6,36000,3,38.735136,0,1.3864265,3.5968165,33574.477
6,48000,0,9.0477936e-05,0,7.165808e-05,1.1468203e-06,82475.516
6,12000,0,7.4254659e-05,0,6.851647e-05,6.2543485e-07,413.22409
6,24000,0,6.9589871e-05,0,6.5211931e-05,5.9335596e-07,5113.7049
6,36000,0,8.3923547e-05,0,6.4655621e-05,6.146729e-07,19984.958
