p,n,f,recovery,final solve,post-ortho,cs construct,pbmgs
6,12000,0,0.00012194769,0,9.1727513e-05,5.6086315e-07,379.76266
6,12000,1,0.95798185,0,0.20809203,0.13519493,483.29596
6,12000,2,2.0017545,0,0.14479042,0.23520712,588.4712
6,12000,3,4.1196586,0,0.11504554,0.38699072,689.408
8,12000,0,8.5784181e-05,0,9.4482151e-05,6.0396269e-07,263.78702
8,12000,1,0.93603479,0,0.18564562,0.10094346,313.10037
8,12000,2,2.2030219,0,0.16244235,0.2009591,351.71834
8,12000,3,3.5080507,0,0.13739513,0.28787957,397.38645
10,12000,0,9.5050111e-05,0,0.00011396095,5.9813261e-07,181.97317
10,12000,1,0.90502393,0,0.22597766,0.07971042,206.24534
10,12000,2,2.0047715,0,0.19228385,0.16189004,242.34291
10,12000,3,3.101404,0,0.15013944,0.2075126,270.35294
12,12000,0,0.00010531209,0,0.00010772738,5.718838e-07,149.22226
12,12000,1,0.77979687,0,0.23267924,0.055095398,166.41047
12,12000,2,1.6975047,0,0.17664773,0.11829005,183.2241
12,12000,3,2.6403155,0,0.14473418,0.15833437,205.94592
6,24000,0,0.00011505694,0,0.00010177617,5.8518102e-07,4864.3102
6,24000,1,4.435671,0,0.95907666,0.56944782,6192.3877
6,24000,2,9.1970098,0,0.69749007,1.0375137,7326.9496
6,24000,3,17.17506,0,0.52524185,1.5885911,8584.3122
8,24000,0,9.8442368e-05,0,0.00010216207,5.5326382e-07,1763.5001
8,24000,1,4.0893766,0,0.8462697,0.40773547,2076.3213
8,24000,2,9.1792772,0,0.66648841,0.7995893,2345.7
8,24000,3,14.47506,0,0.55145794,1.1542894,2635.535
10,24000,0,0.00011467267,0,9.86268e-05,5.8289617e-07,1688.8823
10,24000,1,3.9549706,0,0.88650699,0.32349164,1908.312
10,24000,2,8.2826148,0,0.75841442,0.64568125,2144.6404
10,24000,3,12.854125,0,0.59743887,0.84353609,2392.5969
12,24000,0,0.00011419546,0,0.00011274539,5.7229772e-07,1000.9742
12,24000,1,3.1779099,0,0.91085855,0.22248205,1113.7487
12,24000,2,6.8890242,0,0.68503757,0.48445873,1215.2491
12,24000,3,10.714703,0,0.5707339,0.62452956,1352.2663
6,36000,0,0.00011613251,0,0.00011136197,5.9035503e-07,19065.97
6,36000,1,10.206162,0,2.1716495,1.313687,23971.61
6,36000,2,21.142404,0,1.5669869,2.3897747,28042.198
6,36000,3,39.041807,0,1.195348,3.608229,32685.012
8,36000,0,0.0001103697,0,9.2694187e-05,5.6746649e-07,5825.4347
8,36000,1,9.2483549,0,1.934423,0.92586117,6843.1804
8,36000,2,20.725375,0,1.513155,1.8035368,7727.4238
8,36000,3,32.723668,0,1.2325521,2.621303,8695.9025
10,36000,0,0.00011812992,0,0.00010943223,5.8017671e-07,4304.8788
10,36000,1,8.8908255,0,1.9990968,0.72786755,4822.4084
10,36000,2,18.854096,0,1.694332,1.4714549,5395.5398
10,36000,3,29.395084,0,1.3357041,1.8943853,6048.669
12,36000,0,0.00012923837,0,0.00010695055,5.6293276e-07,2954.3844
12,36000,1,7.563251,0,2.0638211,0.50102759,3317.144
12,36000,2,15.812593,0,1.5456765,1.045705,3610.4119
12,36000,3,24.329382,0,1.2636028,1.4138212,3978.3514
6,12000,0,9.2488921e-05,0,0.00010426115,5.7152162e-07,380.85151
