p,n,f,recovery,final solve,post-ortho,cs construct,pbmgs
8,3000,0,6.255781e-06,0.039516397,3.1493255e-07,1.2590317e-06,6.759334
8,3000,1,0.053742315,0.047381597,0.025931141,0.0081026953,7.8651691
8,3000,2,0.13605993,0.048677636,0.023816661,0.016656624,8.7464706
8,3000,3,0.23502615,0.045376588,0.02109881,0.020512721,10.250512
10,3000,0,5.7777017e-06,0.048172904,2.1556392e-07,1.2404285e-06,5.0654191
10,3000,1,0.053517278,0.047900591,0.042584986,0.0053526073,6.0152747
10,3000,2,0.12259616,0.04785851,0.033926463,0.011100014,7.0044787
10,3000,3,0.19083618,0.046386933,0.024977712,0.017072036,8.4368118
12,3000,0,4.9097645e-06,0.0450566,2.9409097e-07,1.1064112e-06,4.5074639
12,3000,1,0.041302591,0.046112483,0.038391127,0.0035751489,5.4005981
12,3000,2,0.10526437,0.04579952,0.035709846,0.0086219151,6.055069
12,3000,3,0.174014,0.0503322,0.028179591,0.010868049,7.2713796
8,6000,0,1.2192555e-05,0.15635861,2.142333e-07,1.5055703e-06,41.18688
8,6000,1,0.23476068,0.18716434,0.097668909,0.024680023,48.23976
8,6000,2,0.54021098,0.18776381,0.090291445,0.055768662,54.423958
8,6000,3,0.88247974,0.18993964,0.074649868,0.078058342,62.702961
10,6000,0,1.9402541e-05,0.18786297,2.6160851e-07,7.2735362e-06,28.218812
10,6000,1,0.22517082,0.18031318,0.13193963,0.020213925,32.934198
10,6000,2,0.48817431,0.17895126,0.11261453,0.040728615,37.229034
10,6000,3,0.66364214,0.19826999,0.074800655,0.051351732,43.193224
12,6000,0,1.6894127e-05,0.17848002,2.5502717e-07,1.2342611e-06,23.532175
12,6000,1,0.19132131,0.18557297,0.13380538,0.015408716,27.501427
12,6000,2,0.43988617,0.19149479,0.11625356,0.034264024,30.347417
12,6000,3,0.70600373,0.19642745,0.094171619,0.044501507,35.832351
8,9000,0,1.2965582e-05,0.33704152,1.7139246e-07,2.2794993e-06,146.21228
8,9000,1,0.54876668,0.39980561,0.22136279,0.056527595,169.85264
8,9000,2,1.2201323,0.40888799,0.20093593,0.11991077,192.70603
8,9000,3,2.0031824,0.39339596,0.16590268,0.17887339,219.60317
10,9000,0,2.1923799e-05,0.4054813,1.9969419e-07,2.053678e-06,82.15011
10,9000,1,0.51576045,0.38781466,0.29321177,0.047191244,95.400696
10,9000,2,1.1221231,0.38220667,0.2406217,0.090670755,107.05543
10,9000,3,1.5056408,0.42598391,0.16497656,0.1087858,123.93218
12,9000,0,1.9909723e-05,0.3825346,2.9009405e-07,1.7755018e-06,70.147537
12,9000,1,0.39528496,0.4000013,0.28278571,0.031304864,80.202616
12,9000,2,1.0421446,0.39330404,0.23559188,0.065826572,89.675905
